,repo_names
0,microsoft/react-native-windows
1,microsoft/fast
2,microsoft/Application-Insights-Workbooks
3,microsoft/gctoolkit
4,microsoft/winget-cli-restsource
5,microsoft/playwright
6,microsoft/kiota
7,microsoft/CBL-Mariner
8,microsoft/vscode-jupyter
9,microsoft/STL
10,microsoft/hcsshim
11,microsoft/vscode
12,microsoft/MCW-Building-a-resilient-IaaS-architecture
13,microsoft/fluentui
14,microsoft/VFSForGit
15,microsoft/PartnerResources
16,microsoft/WindowsAppSDK
17,microsoft/botframework-cli
18,microsoft/Oryx
19,microsoft/community-organization-operations-suite
20,microsoft/onnxruntime
21,microsoft/CCF
22,microsoft/FS-Mol
23,microsoft/vs-extension-testing
24,microsoft/presidio
25,microsoft/vscode-dev-containers
26,microsoft/msphpsql
27,microsoft/cadl
28,microsoft/SynapseML
29,microsoft/microsoft-ui-xaml
30,microsoft/responsible-ai-widgets
31,microsoft/Git-Credential-Manager-Core
32,microsoft/playwright-dotnet
33,microsoft/vscode-docs
34,microsoft/vcpkg
35,microsoft/vscode-languageserver-node
36,microsoft/language-server-protocol
37,microsoft/vscode-markdown-tm-grammar
38,microsoft/fhir-server
39,microsoft/winget-pkgs
40,microsoft/fluentui-android
41,microsoft/rnx-kit
42,microsoft/electionguard-python
43,microsoft/cascadia-code
44,microsoft/windows-rs
45,microsoft/tutel
46,microsoft/react-native-macos
47,microsoft/google-play-vsts-extension
48,microsoft/archai
49,microsoft/msquic
50,microsoft/PowerToys
51,microsoft/com-rs
52,microsoft/vs-pty.net
53,microsoft/vcpkg-tool
54,microsoft/DirectXShaderCompiler
55,microsoft/azuredatastudio
56,microsoft/vstest
57,microsoft/MCW-Line-of-business-application-migration
58,microsoft/hi-ml
59,microsoft/dicom-server
60,microsoft/jacdac-docs
61,microsoft/pxt
62,microsoft/graspologic
63,microsoft/iomt-fhir
64,microsoft/Azure_Synapse_Toolbox
65,microsoft/vscode-python
66,microsoft/AML-R-acceleration-template
67,microsoft/graphitation
68,microsoft/torchgeo
69,microsoft/qsharp-compiler
70,microsoft/ifc-spec
71,microsoft/appcenter-sdk-apple
72,microsoft/planetary-computer-apis
73,microsoft/CognitiveServicesLanguageUtilities
74,microsoft/charticulator
75,microsoft/vscode-eslint
76,microsoft/nni
77,microsoft/CsWinRT
78,microsoft/vscode-docker
79,microsoft/monaco-languages
80,microsoft/vscode-codicons
81,microsoft/compose-language-service
82,microsoft/api-guidelines
83,microsoft/healthcare-shared-components
84,microsoft/vscode-azurearmtools
85,microsoft/vscode-dts
86,microsoft/OpenEduAnalytics
87,microsoft/vscode-cordova
88,microsoft/QuantumLibraries
89,microsoft/QuantumKatas
90,microsoft/Quantum-NC
91,microsoft/Quantum
92,microsoft/qsharp-runtime
93,microsoft/qdk-python
94,microsoft/iqsharp
95,microsoft/Data-Science-For-Beginners
96,microsoft/navcontainerhelper
97,microsoft/clarity
98,microsoft/bookings-samples
99,microsoft/onnxruntime-inference-examples
